### AAC CRUISERWEIGHT (M3)
# ZoneId: 1260

# -ii A517

hideall "--Reset--"
hideall "--sync--"

# First arena
0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0
0.0 "--sync--" InCombat { inGameCombat: "1" } window 0,1
10.6 "Brutal Impact x3" Ability { id: "A518", source: "Brute Abombinator" } duration 2.2
18.9 "Stoneringer: The Bludgeoning" Ability { id: "A51A", source: "Brute Abombinator" }
28.8 "Brutish Swing (cast)" Ability { id: ["A51C", "A51D"], source: "Brute Abombinator" }
29.8 "Brutish Swing (in/out)" Ability { id: ["A51E", "A51F"], source: "Brute Abombinator" }
30.8 "Brutal Smash" Ability { id: "A520", source: "Brute Abombinator" }
38.9 "Spore Sac (cast)" Ability { id: "A529", source: "Brute Abombinator" }
44.0 "Spore Sac (circles)" Ability { id: "A52A", source: "Brute Abombinator" }
50.1 "Pollen" Ability { id: "A52B", source: "Brute Abombinator" }
53.4 "Pulp Smash" Ability { id: "A526", source: "Brute Abombinator" }
56.4 "The Unpotted" Ability { id: "A528", source: "Brute Abombinator" }
56.4 "It Came from the Dirt" Ability { id: "A527", source: "Brute Abombinator" }
71.3 "Crossing Crosswinds" Ability { id: "A90C", source: "Blooming Abomination" }
71.3 "Winding Wildwinds" Ability { id: "A90B", source: "Blooming Abomination" }
80.7 "Quarry Swamp" Ability { id: "A52D", source: "Brute Abombinator" }
92.7 "Explosion" Ability { id: "A52E", source: "Brute Abombinator" }
95.3 "Explosion" #Ability { id: "A52E", source: "Brute Abombinator" }
97.7 "Explosion" #Ability { id: "A52E", source: "Brute Abombinator" }
97.7 "Stoneringer: The Stabbing" Ability { id: "A51B", source: "Brute Abombinator" }
107.6 "Brutish Swing" Ability { id: "A51D", source: "Brute Abombinator" }
108.6 "Brutish Swing" Ability { id: "A51F", source: "Brute Abombinator" }
109.6 "Brutal Smash" Ability { id: "A521", source: "Brute Abombinator" }
114.7 "--sync--" Ability { id: "A516", source: "Brute Abombinator" }
124.8 "Neo Bombarian Special" Ability { id: "A52F", source: "Brute Abombinator" }

# Second arena
135.2 "Grappling Ivy" Ability { id: "A530", source: "Brute Abombinator" }
140.2 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
143.2 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
147.2 "Stoneringer: The Bludgeoning" Ability { id: "A532", source: "Brute Abombinator" }
156.1 "Brutish Swing" Ability { id: "A534", source: "Brute Abombinator" }
157.1 "Brutish Swing" Ability { id: "A535", source: "Brute Abombinator" }
158.1 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
163.1 "Stoneringer: The Stabbing" Ability { id: "A533", source: "Brute Abombinator" }
173.0 "Brutish Swing" Ability { id: "A539", source: "Brute Abombinator" }
175.9 "Brutish Swing" Ability { id: "A541", source: "Brute Abombinator" }
177.1 "Brutish Swing" Ability { id: "A53F", source: "Brute Abombinator" }
181.7 "Glower Power" Ability { id: "A546", source: "Brute Abombinator" }
182.9 "Glower Power" Ability { id: "A94B", source: "Brute Abombinator" }
183.0 "Electrogenetic Force" Ability { id: "A547", source: "Brute Abombinator" }
190.0 "Abominable Blink" Ability { id: "A542", source: "Brute Abombinator" }
191.0 "Abominable Blink" Ability { id: "A892", source: "Brute Abombinator" }
192.0 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
199.0 "Revenge of the Vines" Ability { id: "A543", source: "Brute Abombinator" }
201.0 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
206.0 "Stoneringer: The Stabbing" Ability { id: "A533", source: "Brute Abombinator" }
216.9 "Sporesplosion" Ability { id: "A544", source: "Brute Abombinator" }
223.0 "Sporesplosion" #Ability { id: "A545", source: "Brute Abombinator" }
225.0 "Sporesplosion" #Ability { id: "A545", source: "Brute Abombinator" }
225.4 "Brutish Swing" Ability { id: "A53D", source: "Brute Abombinator" }
227.0 "Sporesplosion" #Ability { id: "A545", source: "Brute Abombinator" }
228.3 "Brutish Swing" Ability { id: "A541", source: "Brute Abombinator" }
229.5 "Brutish Swing" Ability { id: "A53F", source: "Brute Abombinator" }
234.1 "Glower Power" Ability { id: "A546", source: "Brute Abombinator" }
235.3 "Glower Power" Ability { id: "A94B", source: "Brute Abombinator" }
235.4 "Electrogenetic Force" Ability { id: "A547", source: "Brute Abombinator" }
239.1 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
242.1 "--sync--" Ability { id: "A893", source: "Brute Abombinator" }
248.2 "Powerslam" Ability { id: "A548", source: "Brute Abombinator" }

# Third arena
269.8 "Stoneringer 2: Stoneringers" Ability { id: "A54A", source: "Brute Abombinator" }
278.7 "Spore Sac" Ability { id: "A529", source: "Brute Abombinator" }
280.8 "--sync--" Ability { id: "A516", source: "Brute Abombinator" }
283.8 "Spore Sac" Ability { id: "A52A", source: "Brute Abombinator" }
286.4 "Brutish Swing" Ability { id: "A54C", source: "Brute Abombinator" }
289.2 "Brutish Swing" Ability { id: "A550", source: "Brute Abombinator" }
290.2 "Brutish Swing" Ability { id: "A54F", source: "Brute Abombinator" }
291.3 "Revenge of the Vines" Ability { id: "A638", source: "Brute Abombinator" }
295.1 "Pollen" Ability { id: "A52B", source: "Brute Abombinator" }
298.3 "Lashing Lariat" Ability { id: "A553", source: "Brute Abombinator" }
298.7 "Lashing Lariat" Ability { id: "A554", source: "Brute Abombinator" }
303.4 "Brutish Swing" Ability { id: "A555", source: "Brute Abombinator" }
306.2 "Brutish Swing" Ability { id: "A54E", source: "Brute Abombinator" }
307.2 "Brutish Swing" Ability { id: "A54D", source: "Brute Abombinator" }
312.2 "Slaminator" Ability { id: "A557", source: "Brute Abombinator" }
313.2 "Slaminator" Ability { id: "A558", source: "Brute Abombinator" }
323.3 "Quarry Swamp" Ability { id: "A52D", source: "Brute Abombinator" }
333.4 "Brutal Impact" Ability { id: "A518", source: "Brute Abombinator" }
333.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
334.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
335.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
336.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
337.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
338.6 "Brutal Impact" #Ability { id: "A519", source: "Brute Abombinator" }
346.7 "Stoneringer: The Bludgeoning" Ability { id: "A51A", source: "Brute Abombinator" }
356.6 "Brutish Swing" Ability { id: "A51C", source: "Brute Abombinator" }
